Activity,Trigger,Target,Type
FlightOperations,SpecialProcedure,GroundSoftware,Assignment_Initialization
FlightOperations,SpecialProcedure,FlightSoftware,Assignment_Initialization
SystemTest,Inspection_Review,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,FlightSoftware,Function_Algorithm
FlightOperations,HardwareFailure,FlightSoftware,Function_Algorithm
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,None_Unknown,NothingFixed
FlightOperations,NormalActivity,GroundResources,ResourceConflict
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
FlightOperations,NormalActivity,GroundSoftware,Interfaces
SystemTest,CmdSeqTest,GroundSoftware,Assignment_Initialization
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
FlightOperations,NormalActivity,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,FlightSoftware,Assignment_Initialization
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
Unknown,Unknown,None_Unknown,NothingFixed
FlightOperations,NormalActivity,FlightSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,GroundSoftware,Interfaces
SystemTest,HardwareConfiguration,None_Unknown,NothingFixed
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
SystemTest,Inspection_Review,InformationDevelopment,Procedures
FlightOperations,Recovery,FlightSoftware,FlightRule
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
SystemTest,Inspection_Review,GroundSoftware,Function_Algorithm
FlightOperations,Recovery,InformationDevelopment,Documentation
FlightOperations,NormalActivity,FlightSoftware,Assignment_Initialization
Unknown,Unknown,None_Unknown,NothingFixed
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
