HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,c
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
49.82,25.34,31983.69,0.42,212,0.04,1776.87,1262.29,0
25.56,20.0,10223.25,0.17,113,0.05,567.96,511.16,0
69.36,8.0,4439.07,0.18,110,0.13,246.61,554.88,0
13.96,6.0,502.57,0.03,22,0.17,27.92,83.76,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
17.51,5.0,437.85,0.03,23,0.2,24.32,87.57,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
20.62,44.69,41183.85,0.31,158,0.02,2287.99,921.6,0
9.47,2.67,67.38,0.01,9,0.38,3.74,25.27,0
6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,0
5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
28.22,8.25,1920.54,0.08,53,0.12,106.7,232.79,0
57.99,23.06,30850.19,0.45,245,0.04,1713.9,1337.56,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
27.8,22.5,14073.95,0.21,116,0.04,781.89,625.51,0
0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0
25.11,40.0,40181.42,0.33,184,0.03,2232.3,1004.54,0
60.1,3.63,792.63,0.07,47,0.28,44.04,218.26,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,0
12.35,16.0,3162.47,0.07,45,0.06,175.69,197.65,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
17.46,16.55,4779.2,0.1,63,0.06,265.51,288.85,0
73.7,9.74,6995.99,0.24,130,0.1,388.67,718.06,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
28.45,14.0,5576.96,0.13,82,0.07,309.83,398.35,0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
8.76,10.0,875.69,0.03,23,0.1,48.65,87.57,0
7.33,4.5,148.5,0.01,11,0.22,8.25,33.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
23.26,21.67,10918.18,0.17,113,0.05,606.57,503.92,0
57.5,25.16,36402.08,0.48,265,0.04,2022.34,1446.75,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
12.73,6.75,580.17,0.03,22,0.15,32.22,85.95,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
56.19,14.88,12432.2,0.28,156,0.07,690.68,835.78,0
16.61,3.0,149.49,0.02,15,0.33,8.3,49.83,0
38.41,12.48,5980.45,0.16,92,0.08,332.25,479.27,0
18.99,31.5,18845.31,0.2,114,0.03,1046.96,598.26,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
12.35,16.0,3162.47,0.07,45,0.06,175.69,197.65,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
15.82,9.29,1364.49,0.05,34,0.11,75.81,146.95,0
5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,0
0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0
21.5,7.15,1099.18,0.05,35,0.14,61.07,153.73,0
9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,0
11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
13.2,2.5,82.5,0.01,11,0.4,4.58,33.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
18.89,8.44,1345.03,0.05,39,0.12,74.72,159.41,0
9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,0
39.4,37.78,56237.13,0.5,268,0.03,3124.28,1488.63,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
9.21,11.25,1165.64,0.03,28,0.09,64.76,103.61,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
36.14,14.33,7425.49,0.17,101,0.07,412.53,518.05,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
42.87,12.22,6404.47,0.17,109,0.08,355.8,524.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
12.37,6.0,445.39,0.02,19,0.17,24.74,74.23,0
14.28,4.0,228.44,0.02,15,0.25,12.69,57.11,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
43.59,6.0,1569.11,0.09,55,0.17,87.17,261.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
9.08,5.33,258.3,0.02,14,0.19,14.35,48.43,0
15.75,12.09,2302.09,0.06,41,0.08,127.89,190.4,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
7.4,6.0,266.27,0.01,14,0.17,14.79,44.38,0
16.18,6.43,668.57,0.03,26,0.16,37.14,104.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
21.67,1.8,70.2,0.01,13,0.56,3.9,39.0,0
35.32,41.43,60620.78,0.49,262,0.02,3367.82,1463.26,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
17.83,12.6,2830.76,0.07,49,0.08,157.26,224.66,0
19.07,10.91,2270.01,0.07,46,0.09,126.11,208.08,0
26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.57,34.83,6763.77,0.06,51,0.03,375.76,194.18,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
6.69,7.5,376.42,0.02,14,0.13,20.91,50.19,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
10.24,7.0,501.89,0.02,20,0.14,27.88,71.7,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,0
11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,0
96.51,10.29,10209.86,0.33,192,0.1,567.21,992.63,0
8.88,9.0,719.59,0.03,21,0.11,39.98,79.95,0
0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
8.6,7.5,483.97,0.02,18,0.13,26.89,64.53,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0
10.88,5.6,341.29,0.02,17,0.18,18.96,60.94,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
10.0,1.0,10.0,0.0,5,1.0,0.56,10.0,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0
9.32,5.0,233.02,0.02,13,0.2,12.95,46.6,0
38.12,38.25,55776.93,0.49,264,0.03,3098.72,1458.22,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
8.51,8.0,544.91,0.02,19,0.13,30.27,68.11,0
16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,0
12.68,2.5,79.25,0.01,10,0.4,4.4,31.7,0
21.54,19.27,7995.67,0.14,83,0.05,444.2,415.0,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
57.1,7.54,3243.41,0.14,82,0.13,180.19,430.33,0
7.33,4.5,148.5,0.01,11,0.22,8.25,33.0,0
13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0
