n,v,l,d,i,e,t,lOCode,lOComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,errorRate_binned,defects_binned
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,3,3
198.0,1134.13,0.05,20.31,55.85,23029.1,1279.39,51,10,8,17.0,36.0,112.0,86.0,3,3
600.0,4348.76,0.06,17.06,254.87,74202.67,4122.37,129,29,28,17.0,135.0,329.0,271.0,3,3
126.0,599.12,0.06,17.19,34.86,10297.3,572.07,28,1,6,11.0,16.0,76.0,50.0,3,3
111.0,582.52,0.08,12.25,47.55,7135.87,396.44,19,0,5,14.0,24.0,69.0,42.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
16.0,50.72,0.36,2.8,18.11,142.01,7.89,5,0,1,4.0,5.0,9.0,7.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
37.0,167.37,0.15,6.87,24.34,1150.68,63.93,8,0,2,11.0,12.0,22.0,15.0,3,3
129.0,695.61,0.06,17.35,40.1,12067.3,670.41,29,1,16,19.0,23.0,87.0,42.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
9.0,27.0,0.5,2.0,13.5,54.0,3.0,2,0,6,4.0,4.0,5.0,4.0,3,3
1469.0,9673.31,0.01,97.0,99.72,938311.06,52128.39,139,92,17,32.0,64.0,1081.0,388.0,3,3
284.0,1160.84,0.02,40.95,28.35,47536.38,2640.91,59,0,16,7.0,10.0,167.0,117.0,3,3
277.0,1714.58,0.03,32.64,52.53,55961.02,3108.95,69,0,14,26.0,47.0,161.0,118.0,3,3
322.0,2069.26,0.03,33.41,61.94,69127.22,3840.4,81,13,14,27.0,59.0,176.0,146.0,3,3
171.0,927.89,0.04,25.33,36.63,23506.58,1305.92,34,0,13,19.0,24.0,107.0,64.0,3,3
526.0,3296.33,0.02,42.56,77.45,140300.03,7794.45,164,1,16,21.0,56.0,299.0,227.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
145.0,673.36,0.05,20.53,32.8,13824.9,768.05,29,0,7,9.0,16.0,72.0,73.0,3,3
814.0,5811.59,0.02,40.88,142.15,237606.8,13200.38,223,41,26,28.0,113.0,484.0,330.0,3,3
88.0,465.12,0.08,12.04,38.63,5599.99,311.11,21,0,6,14.0,25.0,45.0,43.0,3,3
698.0,4862.12,0.03,33.11,146.86,160969.13,8942.73,123,11,23,22.0,103.0,388.0,310.0,3,3
218.0,1236.59,0.03,34.52,35.83,42683.63,2371.31,66,19,6,22.0,29.0,127.0,91.0,3,3
157.0,927.38,0.08,13.09,70.84,12140.27,674.46,34,1,9,16.0,44.0,85.0,72.0,3,3
31.0,129.27,0.19,5.2,24.86,672.19,37.34,8,1,3,8.0,10.0,18.0,13.0,3,3
116.0,595.0,0.06,16.67,35.7,9916.61,550.92,26,0,4,14.0,21.0,66.0,50.0,3,3
9.0,27.0,0.5,2.0,13.5,54.0,3.0,2,0,6,4.0,4.0,5.0,4.0,3,3
31.0,118.03,0.11,9.0,13.11,1062.25,59.01,13,4,0,9.0,5.0,21.0,10.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
192.0,1072.31,0.04,28.21,38.01,30254.54,1680.81,45,6,19,20.0,28.0,113.0,79.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
