HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,c
7.74,1.5,0
7.74,1.5,0
9.51,3.0,0
49.82,25.34,0
25.56,20.0,0
69.36,8.0,0
13.96,6.0,0
7.75,2.0,0
17.51,5.0,0
5.33,1.5,0
20.62,44.69,0
9.47,2.67,0
6.55,3.0,0
5.8,2.0,0
0.0,0.0,0
7.75,2.0,0
28.22,8.25,0
57.99,23.06,0
7.74,1.5,0
27.8,22.5,0
0.0,0.0,0
25.11,40.0,0
60.1,3.63,0
7.74,1.5,0
11.86,3.5,0
12.35,16.0,0
5.33,1.5,0
17.46,16.55,0
73.7,9.74,0
7.75,2.0,0
5.33,1.5,0
5.33,1.5,0
28.45,14.0,0
0.0,0.0,0
8.76,10.0,0
7.33,4.5,0
5.33,1.5,0
23.26,21.67,0
57.5,25.16,0
7.86,2.5,0
5.33,1.5,0
12.73,6.75,0
7.75,2.0,0
7.75,2.0,0
56.19,14.88,0
38.41,12.48,0
18.99,31.5,0
5.33,1.5,0
12.35,16.0,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
15.82,9.29,0
5.8,2.0,0
0.0,0.0,0
5.33,1.5,0
5.33,1.5,0
0.0,0.0,0
7.86,2.5,0
21.5,7.15,0
9.0,3.0,0
11.86,3.5,0
5.33,1.5,0
13.2,2.5,0
5.33,1.5,0
5.33,1.5,0
18.89,8.44,0
9.83,2.0,0
39.4,37.78,0
9.51,3.0,0
9.21,11.25,0
7.75,2.0,0
36.14,14.33,0
7.75,2.0,0
5.33,1.5,0
7.74,1.5,0
5.33,1.5,0
8.3,6.67,0
0.0,0.0,0
42.87,12.22,0
5.33,1.5,0
12.37,6.0,0
14.28,4.0,0
7.74,1.5,0
43.59,6.0,0
5.33,1.5,0
7.74,1.5,0
9.08,5.33,0
15.75,12.09,0
5.33,1.5,0
7.75,2.0,0
7.4,6.0,0
16.18,6.43,0
5.33,1.5,0
21.67,1.8,0
35.32,41.43,0
7.74,1.5,0
5.33,1.5,0
5.33,1.5,0
17.83,12.6,0
19.07,10.91,0
26.76,22.02,0
5.33,1.5,0
5.57,34.83,0
5.33,1.5,0
6.69,7.5,0
7.75,2.0,0
10.24,7.0,0
9.51,3.0,0
7.74,1.5,0
16.4,7.07,0
11.23,2.0,0
9.51,3.0,0
5.33,1.5,0
7.75,2.0,0
0.0,0.0,0
5.33,1.5,0
9.51,3.0,0
7.74,1.5,0
6.55,3.0,0
96.51,10.29,0
8.88,9.0,0
0.0,0.0,0
5.33,1.5,0
5.33,1.5,0
7.75,2.0,0
8.6,7.5,0
7.74,1.5,0
5.33,1.5,0
0.0,0.0,0
7.86,2.5,0
10.88,5.6,0
5.33,1.5,0
5.33,1.5,0
10.0,1.0,0
9.51,3.0,0
9.32,5.0,0
38.12,38.25,0
7.74,1.5,0
8.51,8.0,0
